id,word,phonetic_uk,phonetic_us,meanings,hasEtymology,hasMemoryStory,hasAcademicContext,hasDailyContext,hasGameDescription
w0001,"a","/ə, eɪ(ən)/","/ə, eɪ(ən)/","一（个、件……）",false,true,true,true,true
w0003,"able","/ˈeɪb(ə)l/","/ˈeɪb(ə)l/","能够, 有能力的",false,true,true,true,true
w0004,"about","/əˈbaʊt/","/əˈbaʊt/","大约, 到处, 四处 prep. 关于",false,true,true,true,true
w0019,"after","/ˈɑːftə(r)/","/ˈɑːftə(r)/","在后, 后来 prep. 在…之后 conj. 在…以后",true,true,true,true,true
w0021,"again","/əˈɡeɪn/","/əˈɡeɪn/","再一次, 再, 又",false,true,true,true,true
w0025,"agree","/əˈɡriː/","/əˈɡriː/","同意",false,true,true,true,true
w0026,"air","/eə(r)/","/eə(r)/","空气, 大气",false,true,true,true,true
w0033,"all","/ɔːl/","/ɔːl/","全部地 a. 全（部）, 所有的, 总",false,true,true,true,true
w0034,"allow","/əˈlaʊ/","/əˈlaʊ/","允许, 准许",false,true,true,true,true
w0035,"almost","/ˈɔːlməʊst/","/ˈɔːlməʊst/","几乎, 差不多",false,true,true,true,true
w0039,"also","/ˈɔːlsəʊ/","/ˈɔːlsəʊ/","也",false,true,true,true,true
w0040,"although","/ɔːlˈðəʊ/","/ɔːlˈðəʊ/","虽然, 尽管",false,true,true,true,true
w0041,"always","/ˈɔːlweɪz/","/ˈɔːlweɪz/","总是, 一直, 永远",false,true,true,true,true
w0046,"among","/əˈmʌŋ/","/əˈmʌŋ/","在…中间, 在（三个以上）之间",false,true,true,true,true
w0047,"and","/ənd, ænd/","/ənd, ænd/","和, 又",false,true,true,true,true
w0051,"another","/əˈnʌðə(r)/","/əˈnʌðə(r)/","再一, 另一, 别的 pron. 另一个",true,true,true,true,true
w0053,"any","/ˈenɪ/","/ˈenɪ/","任何的, （用于疑问句、否定句）一些, 什么",false,true,true,true,true
w0063,"area","/ˈeərɪə/","/ˈeərɪə/","面积, 地域, 区域",false,true,true,true,true
w0066,"around","/əˈraʊnd/","/əˈraʊnd/","在周围, 在附近 prep. 在…周围, 大约",false,true,true,true,true
w0074,"ask","/ɑːsk/","/ɑːsk/","问, 请求, 要求",true,true,true,true,true
w0077,"at","/æt/","/æt/","在（几点钟）, 在（某处）",false,true,true,true,true
w0087,"away","/əˈweɪ/","/əˈweɪ/","离开, 远离",false,true,true,true,true
w0089,"back","/bæk/","/bæk/","回（原处）, 向后 a. 后面的 n. 背后, 后部",false,true,true,true,true
w0103,"be","/biː/","/biː/","是 (am, is, are",false,true,true,true,true
w0107,"because","/bɪˈkɔz; (US) bɪˈkɔːz/","/bɪˈkɔz; (US) bɪˈkɔːz/","因为",false,true,true,true,true
w0113,"before","/bɪˈfɔː(r)/","/bɪˈfɔː(r)/","在…以前, 在…前面 ad. 以前 conj. 在…之前",false,true,true,true,true
w0117,"believe","/bɪˈliːv/","/bɪˈliːv/","相信, 认为",true,true,true,true,true
w0123,"big","/bɪɡ/","/bɪɡ/","大的",true,true,true,true,true
w0144,"both","/bəʊθ/","/bəʊθ/","两, 双 pron. 两者, 双方",false,true,true,true,true
w0169,"but","/bət, bʌt/","/bət, bʌt/","但是, 可是 prep. 除了, 除……外",false,true,true,true,true
w0173,"by","/baɪ/","/baɪ/","在…旁, 不迟于, 被",false,true,true,true,true
w0178,"call","/kɔːl/","/kɔːl/","喊, 叫, 电话",true,true,true,true,true
w0181,"can","/ken, kæn/","/ken, kæn/","可能, 能够, 可以 n.（美）罐头",false,true,true,true,true
w0191,"care","/keə(r)/","/keə(r)/","照料, 保护, 小心 v. 介意…",false,true,true,true,true
w0195,"carry","/ˈkærɪ/","/ˈkærɪ/","拿, 搬, 带",false,true,true,true,true
w0197,"cause","/kɔːz/","/kɔːz/","原因, 起因 vt. 促使, 引起",false,true,true,true,true
w0203,"certain","/ˈsɜːt(ə)n/","/ˈsɜːt(ə)n/","（未指明真实名称的）某…, 确定的, 无疑的",false,true,true,true,true
w0208,"change","/tʃeɪndʒ/","/tʃeɪndʒ/","零钱, 找头 v. 改变, 变化",true,true,true,true,true
w0225,"city","/ˈsɪtɪ/","/ˈsɪtɪ/","市, 城市, 都市",false,true,true,true,true
w0234,"close","/kləʊz/","/kləʊz/","亲密的, 近, 靠近 ad. 近",true,true,true,true,true
w0254,"company","/ˈkʌmpənɪ/","/ˈkʌmpənɪ/","公司",true,true,true,true,true
w0266,"continue","/kənˈtɪnjuː/","/kənˈtɪnjuː/","继续",true,true,true,true,true
w0277,"country","/ˈkʌntrɪ/","/ˈkʌntrɪ/","国家, 农村, 乡下",true,true,true,true,true
w0280,"course","/kɔːs/","/kɔːs/","过程, 经过, 课程",true,true,true,true,true
w0307,"decide","/dɪˈsaɪd/","/dɪˈsaɪd/","决定, 下决心",true,true,true,true,true
w0331,"different","/ˈdɪfərənt/","/ˈdɪfərənt/","不同的, 有差异的",true,true,true,true,true
w0332,"difficult","/ˈdɪfɪkəlt/","/ˈdɪfɪkəlt/","难, 艰难, 不易相处的",true,true,true,true,true
w0359,"door","/dɔː(r)/","/dɔː(r)/","门",false,true,true,true,true
w0361,"down","/daʊn/","/daʊn/","沿着, 沿…而下 ad. 向下",false,true,true,true,true
w0375,"during","/ˈdjuərɪŋ; (US) ˈdɪərɪŋ/","/ˈdjuərɪŋ; (US) ˈdɪərɪŋ/","在…期间, 在…过程中",false,true,true,true,true
w0380,"early","/ɜːlɪ/","/ɜːlɪ/","早的 ad. 早地",true,true,true,true,true
w0386,"education","/edjʊːkeɪʃ (ə)n/","/edjʊːkeɪʃ (ə)n/","教育, 培养",true,true,true,true,true
w0403,"end","/end/","/end/","末尾, 终点, 结束 v. 结束",true,true,true,true,true
w0410,"enough","/ɪˈnʌf/","/ɪˈnʌf/","足够, 充足 a. 足够, 充分的 ad. 足够地",false,true,true,true,true
w0411,"enter","/ˈentə(r)/","/ˈentə(r)/","进入",true,true,true,true,true
w0425,"even","/ˈiːv(ə)n/","/ˈiːv(ə)n/","甚至, 连（…都）, 更",false,true,true,true,true
w0429,"every","/ˈevrɪ/","/ˈevrɪ/","每一, 每个的",false,true,true,true,true
w0438,"example","/ɪɡˈzɑːmp(ə)l; (US) ɪɡˈzæmpl/","/ɪɡˈzɑːmp(ə)l; (US) ɪɡˈzæmpl/","例子, 榜样",true,true,true,true,true
w0448,"experience","/ɪkˈspɪərɪəns/","/ɪkˈspɪərɪəns/","经验, 经历",true,true,true,true,true
w0454,"face","/feɪs/","/feɪs/","脸 vt. 面向, 面对",false,true,true,true,true
